ID_REALISATRICE	PRENOM_REALISATRICE	NOM_REALISATRICE	TITRE_ORIGINAL	ANNEE	TYPE	GENRE	FORMAT	LANGUE_ORIGINALE	LANGUE_AUTRE	EPISODES
9765	Abeille	Tard	Le temps qu'il faut	2017	Fiction	Drame	Court métrage	français		
9765	Abeille	Tard	Stroganov	2009	Fiction	Drame	Court métrage	français		
9765	Abeille	Tard	Sirop d'arabes	2007	Documentaire		Court métrage	français		
9765	Abeille	Tard	Le rire et la liberté d'expression sont parmi les plus belles conquêtes de l'humanité	2006	Animation		Court métrage	français	autre	
5736	Agata	De Santis	Terra Mia	2018	Documentaire		Moyen métrage	anglais		
5736	Agata	De Santis	Mal’occhio - The Evil Eye	2010	Documentaire		Long métrage	français		
13137	Alana	Cymerman	Julia Julep	2015	Fiction	Drame	Court métrage	anglais		
13137	Alana	Cymerman	The Perfect Vacuum	2010	Fiction	Drame	Court métrage	anglais		
4143	Alanis	Obomsawin	Jordan River Anderson - The Messenger	2019	Documentaire		Long métrage	anglais		
4143	Alanis	Obomsawin	Our People Will Be Healed	2017	Documentaire		Long métrage	français		
4143	Alanis	Obomsawin	Trick or Treaty?	2014	Documentaire		Long métrage	français		
4143	Alanis	Obomsawin	Hi-Ho Mistahey!	2013	Documentaire		Long métrage	français		
4143	Alanis	Obomsawin	Le peuple de la rivière Kattawapiskak	2012	Documentaire		Moyen métrage	français		
4143	Alanis	Obomsawin	Quand toutes les feuilles seront tombées	2010	Documentaire, Fiction	Drame	Court métrage	français		
4143	Alanis	Obomsawin	Professor Norman Cornett : 'Since When Do We Divorce The Right Answer From An Honest Answer?'	2009	Documentaire		Long métrage	français		
4143	Alanis	Obomsawin	Gene Boy Came Home	2007	Documentaire		Court métrage	anglais		
4143	Alanis	Obomsawin	Waban-Aki: People from Where the Sun Rises	2006	Documentaire		Long métrage	autre	anglais, s.-t. anglais	
4143	Alanis	Obomsawin	Sigwan	2005	Fiction	Fantastique	Court métrage	autre	français, s.-t. français	
4143	Alanis	Obomsawin	La survie de nos enfants	2003	Documentaire		Long métrage	autre	anglais, français, s.-t. français	
4143	Alanis	Obomsawin	Is The Crown At War With Us?	2002	Documentaire		Long métrage	anglais		
4143	Alanis	Obomsawin	Spudwrench – Kahnawake Man	1997	Documentaire		Moyen métrage	anglais		
4143	Alanis	Obomsawin	Je m'appelle Kahentiiosta	1996	Documentaire		Court métrage	français		
4143	Alanis	Obomsawin	Kanehsatake - 270 Years of Resistance	1993	Documentaire		Long métrage	autre	anglais, s.-t. anglais	
4143	Alanis	Obomsawin	Richard Cardinal: A Cry From A Diary Of A Métis Child	1986	Documentaire		Court métrage	anglais		
4143	Alanis	Obomsawin	Les événements de Restigouche	1984	Documentaire		Moyen métrage	français		
4143	Alanis	Obomsawin	Mère de tant d’enfants	1977	Documentaire		Long métrage	français		
4143	Alanis	Obomsawin	L'agriculture	1975	Documentaire		Court métrage	français		
4143	Alanis	Obomsawin	L'appel à l'orignal	1972	Documentaire		Court métrage	français		
4143	Alanis	Obomsawin	Christmas at Moose Factory	1967	Animation		Court métrage	anglais		
16798	Alexandra	Guité	Écologie Sonore	2010	Documentaire, Interactif		Interactif	français		
16798	Alexandra	Guité	L'île	2009	Documentaire		Court métrage	anglais		
16798	Alexandra	Guité	Les Arts de la Résistance	2006	Documentaire		Long métrage	autre	Espagnol, s.-t. français	
2662	Alexandra	Sicotte-Lévesque	À jamais, pour toujours	2013	Documentaire		Long métrage	autre	anglais, arabe, s.-t. français	
2662	Alexandra	Sicotte-Lévesque	When Silence is Golden	2007	Documentaire		Moyen métrage	anglais		
7327	Amandine	Gay	Une histoire à soi	2021	Documentaire		Long métrage	français		
7327	Amandine	Gay	Ouvrir la voix	2017	Documentaire		Long métrage	français		
18744	Amandine	Navarro	Colours	2020			Court métrage	anglais		
18744	Amandine	Navarro	Chill ou crève	2019	Fiction	Drame	Court métrage	français		
18744	Amandine	Navarro	Mr Hawk	2019			Court métrage	anglais		
18744	Amandine	Navarro	Leslie Love	2019			Court métrage	anglais		
18744	Amandine	Navarro	Hollywood Signals	2017			Court métrage	anglais		
6184	Amy	Miller	Tomorrow's Power	2017	Documentaire		Long métrage	anglais	arabe, allemand, espagnol avec s.-t. anglais	
6184	Amy	Miller	Sans terre, c'est la faim	2013	Documentaire		Court métrage, Long métrage	français		
6184	Amy	Miller	The Carbon Rush	2013	Documentaire		Long métrage	anglais		
6184	Amy	Miller	Myths for Profit: Canada's Role in Industries of War and Peace	2010	Documentaire		Long métrage	anglais		
6184	Amy	Miller	Outside of Europe	2008	Documentaire		Court métrage	anglais		
