UID_MEDIAFILM,TITRE_ORIGINAL,TITRE_FRANÇAIS,PAYS_1,PAYS_2,PAYS_3,PAYS_4,PAYS_5,PAYS_6,ANNÉE_PRODUCTION,COTE_MEDIAFILM,GENRE,DATE_HEURE_DIFFUSION,RÉALISATION
43828,Death at a Funeral,Joyeuses Funérailles,GB,,,,,,2007,4,Comédie de moeurs,2010-01-01T01:00:00,Frank Oz 
42297,"Lost City, The","Cité perdue, La",US,,,,,,2005,4,Drame,2010-01-01T03:00:00,Andy Garcia 
42642,"Doublure, La","Doublure, La",FR,,,,,,2006,5,Comédie,2010-01-01T12:30:00,Francis Veber 
42251,Cars,"Bagnoles, Les",US,,,,,,2006,3,Film d'animation,2010-01-01T14:30:00,"John Lasseter, Joe Ranft "
38921,Miracle,Miracle,US,,,,,,2004,5,Drame sportif,2010-01-02T00:30:00,Gavin O'Connor 
38291,Open Range,"Ouest sauvage, L'",US,,,,,,2003,4,Western,2010-01-02T03:15:00,Kevin Costner 
37720,Piglet's Big Movie,"Grand Film de Porcinet, Le",US,,,,,,2003,5,Dessins animés,2010-01-02T08:00:00,Francis Glebas 
45779,Oliver Twist,Oliver Twist,GB,US,,,,,2007,4,Drame,2010-01-02T12:30:00,Coky Giedroyc 
45779,Oliver Twist,Oliver Twist,GB,US,,,,,2007,4,Drame,2010-01-02T14:30:00,Coky Giedroyc 
43189,Bridge to Terabithia,"Pont de Terabithia, Le",US,,,,,,2007,4,Drame fantastique,2010-01-02T20:00:00,Gabor Csupo 
37357,Chicago,Chicago,US,,,,,,2002,3,Comédie musicale,2010-01-02T23:35:00,Rob Marshall 
38681,Concorrenza Sleale,Concurrence déloyale,IT,,,,,,2001,4,Comédie dramatique,2010-01-03T02:10:00,Ettore Scola 
40012,National Treasure,Trésor national,US,,,,,,2004,5,Aventures,2010-01-03T14:00:00,Jon Turteltaub 
43706,Ratatouille,Ratatouille,US,,,,,,2007,3,Film d'animation,2010-01-03T19:30:00,Brad Bird 
37363,"Pianist, The","Pianiste, Le",FR,,,,,,2001,3,Drame biographique,2010-01-03T22:35:00,Roman Polanski 
1272,Ça commence aujourd'hui,Ça commence aujourd'hui,FR,,,,,,1999,3,Drame social,2010-01-04T01:35:00,Bertrand Tavernier 
43287,"Môme, La","Vie en rose, La",FR,GB,CZ,,,,2007,4,Drame biographique,2010-01-09T18:30:00,Olivier Dahan 
37854,"Sleeping Dictionary, The",Leçons sur l'oreiller,US,,,,,,2002,4,Drame sentimental,2010-01-09T23:35:00,Guy Jenkin 
41892,Anthony Zimmer,Anthony Zimmer,FR,,,,,,2005,4,Thriller,2010-01-10T22:35:00,Jérôme Salle 
14961,Van Gogh,Van Gogh,FR,,,,,,1991,3,Drame biographique,2010-01-11T00:35:00,Maurice Pialat 
44016,"Cri au bonheur, Un","Cri au bonheur, Un",CA,QC,,,,,2007,4,Film d'essai,2010-01-17T02:05:00,collectif 
40179,Mar Adentro,"Mer intérieure, La",ES,,,,,,2004,3,Drame biographique,2010-01-17T23:35:00,Alejandro Amenabar 
43824,"3 P'tits Cochons, Les","3 P'tits Cochons, Les",CA,QC,,,,,2007,5,Comédie dramatique,2010-01-24T19:30:00,Patrick Huard 
40419,Der Untergang,"Chute, La",DE,,,,,,2004,3,Drame historique,2010-01-24T23:35:00,Oliver Hirschbiegel 
38942,Dans l'oeil du chat,Dans l'oeil du chat,CA,QC,,,,,2003,5,Thriller,2010-01-31T02:05:00,Rudy Barichello 
41888,Tsotsi,Tsotsi,ZA,,,,,,2005,3,Drame policier,2010-01-31T23:50:00,Gavin Hood 
39938,CQ2 (Seek You Too),CQ2 (Seek You Too),CA,QC,FR,,,,2004,5,Drame psychologique,2010-02-07T02:05:00,Carole Laure 
42179,Boksuneun naui geot,"Vengeance d'un homme, La",KP,,,,,,2002,4,Thriller,2010-02-07T23:50:00,Park Chan-wook 
42686,Alex Rider - Operation Stormbreaker,Stormbreaker - Les Aventures d'Alex Rider,GB,US,DE,,,,2006,5,Drame d'espionnage,2010-02-13T15:00:00,Geoffrey Sax 
39323,Super Size Me,Super Size Me: Malbouffe à l'américaine,US,,,,,,2004,4,Documentaire,2010-02-14T02:05:00,Morgan Spurlock 
40608,Oldeuboi,15 ans volés,KP,,,,,,2003,3,Thriller,2010-02-14T23:50:00,Park Chan-wook 
43052,Miss Potter,Miss Potter,GB,US,,,,,2006,4,Drame biographique,2010-02-20T15:00:00,Chris Noonan 
41264,Saints-Martyrs-des-Damnés,Saints-Martyrs-des-Damnés,CA,QC,,,,,2005,5,Drame fantastique,2010-02-21T02:00:00,Robin Aubert 
42217,Chinjeolhan Geum-Jassi,"Vengeance d'une femme, La",KP,,,,,,2005,3,Thriller,2010-02-21T23:59:00,Park Chan-wook 
37564,À la folie... pas du tout,"À la folie, pas du tout",FR,,,,,,2002,4,Thriller,2010-02-22T02:22:00,Laetitia Colombani 
42958,Roméo et Juliette,Roméo et Juliette ,CA,QC,,,,,2006,7,Drame sentimental,2010-02-27T02:00:00,Yves Desgagnés 
1957,Serendipity,Heureux Hasard,US,,,,,,2001,4,Comédie sentimentale,2010-02-27T15:00:00,Peter Chelsom 
39552,"Village, The","Village, Le",US,,,,,,2004,5,Thriller,2010-02-28T02:00:00,M. Night Shyamalan 
41700,"New World, The","Nouveau Monde, Le",US,,,,,,2005,3,Drame historique,2010-02-28T23:55:00,Terrence Malick 
40156,"Aviator, The","Aviateur, L'",US,,,,,,2004,3,Drame biographique,2010-03-01T02:10:00,Martin Scorsese 
44049,"Brunante, La","Brunante, La",CA,QC,,,,,2007,4,Comédie dramatique,2010-03-04T02:30:00,Fernand Dansereau 
41164,Familia,Familia,CA,QC,,,,,2005,4,Drame psychologique,2010-03-05T03:00:00,Louise Archambault 
42649,Sans elle,Sans elle,CA,QC,,,,,2006,5,Drame psychologique,2010-03-06T02:15:00,Jean Beaudin 
41805,Que Dieu bénisse l'Amérique,Que Dieu bénisse l'Amérique,CA,QC,,,,,2005,4,Comédie dramatique,2010-03-07T02:05:00,Robert Morin 
1281,Post mortem,Post mortem,CA,QC,,,,,1999,3,Drame psychologique,2010-03-07T23:55:00,Louis Bélanger 
41575,Brokeback Mountain,Souvenirs de Brokeback Mountain,US,,,,,,2005,2,Drame sentimental,2010-03-08T01:10:00,Ang Lee 
